Wall time,Step,Value
1588677102.6599438,7,0.08833666145801544
1588677110.223743,20,0.22036774456501007
1588677113.7165508,26,0.2530873715877533
1588677123.145735,42,0.46774929761886597
1588677124.329022,44,0.5156328678131104
1588677126.106729,47,0.5782617926597595
1588677127.2902882,49,0.6018353700637817
1588677130.8979578,55,0.6726876497268677
1588677132.709435,58,0.6810075044631958
1588677138.043222,67,0.7304220199584961
1588677141.566392,73,0.7351645827293396
1588677142.793649,75,0.741613507270813
1588677143.3985689,76,0.7492085099220276
1588677146.524181,81,0.7672367691993713
1588677151.7391622,89,0.7892799377441406
1588677156.649106,96,0.8009622693061829
1588677164.678782,104,0.7879281044006348
1588677166.80042,107,0.7907277345657349
1588677167.510614,108,0.7975924611091614
1588677172.654912,115,0.8106166124343872
1588677176.5247161,120,0.827688992023468
1588677182.996181,128,0.742800235748291
1588677194.56658,141,0.8098053336143494
1588677206.051935,152,0.8274636268615723
1588677214.302328,157,0.8196849226951599
1588677216.764844,160,0.8093003630638123
1588677226.536491,169,0.8023509979248047
1588677227.6702578,170,0.8111783862113953
1588677239.5342941,180,0.8378638029098511
1588677245.655872,185,0.838588297367096
1588677248.214794,187,0.8436315655708313
1588677249.497949,188,0.8452059030532837
1588677254.758131,192,0.8521490097045898
1588677268.764265,200,0.830944836139679
1588677278.0863512,208,0.8503203392028809
1588677279.2085319,209,0.8496633172035217
1588677284.8256671,214,0.8525184988975525
1588677297.133099,225,0.8441945910453796
1588677303.967207,231,0.8575714230537415
1588677309.587178,236,0.866242527961731
1588677313.0319061,239,0.8605689406394958
1588677326.1602418,251,0.8547283411026001
1588677332.524199,257,0.8599637150764465
1588677337.726322,262,0.8433924913406372
1588677340.829365,265,0.8396143913269043
1588677344.955061,269,0.8482397794723511
1588677348.972181,273,0.8392191529273987
1588677351.006252,275,0.8505488038063049
1588677370.732342,294,0.8261831998825073
1588677375.849567,299,0.8450636863708496
1588677380.2435431,300,0.8480573296546936
1588677385.365927,305,0.8568811416625977
1588677390.408184,310,0.8576033115386963
1588677392.4512472,312,0.8593462109565735
1588677402.669228,320,0.891150951385498
1588677403.7439559,321,0.8817233443260193
1588677410.8368242,328,0.8821989297866821
1588677411.8426628,329,0.886166512966156
1588677414.949634,332,0.8776247501373291
1588677424.186223,341,0.8867102265357971
1588677432.25024,349,0.8704764246940613
1588677449.1347048,365,0.8867021203041077
1588677453.339916,369,0.8928636908531189
1588677459.443965,375,0.8855189085006714
1588677463.5171058,379,0.8844280242919922
1588677465.5441742,381,0.8852929472923279
1588677478.687202,394,0.8829848170280457
1588677498.940444,410,0.8913024067878723
1588677512.271298,423,0.8928365707397461
1588677513.408588,424,0.8973029255867004
1588677515.500235,426,0.888377845287323
1588677521.8881931,432,0.9015816450119019
1588677531.43411,441,0.8936059474945068
1588677533.598801,443,0.8166332840919495
1588677534.634408,444,0.8240324854850769
1588677537.847917,447,0.8412665724754333
1588677543.944739,453,0.8663397431373596
1588677553.160204,462,0.9057617783546448
1588677556.383262,465,0.9158003330230713
1588677557.4284859,466,0.9179702997207642
1588677569.9809291,476,0.9249076247215271
1588677585.357692,491,0.908452033996582
1588677587.355339,493,0.9155336022377014
1588677589.356433,495,0.9139259457588196
1588677607.354683,509,0.9040774703025818
1588677612.352095,514,0.9085997939109802
1588677614.4132512,516,0.9095595479011536
1588677617.480524,519,0.9008657336235046
1588677625.735395,527,0.9120882749557495
1588677632.16027,533,0.9085261225700378
1588677634.3194938,535,0.9009061455726624
1588677637.49151,538,0.8934324383735657
1588677643.6695418,544,0.9113743901252747
1588677648.6916249,549,0.9204462766647339
1588677658.916998,559,0.9164842367172241
1588677665.294345,565,0.9221078157424927
1588677671.682476,571,0.9147304892539978
1588677675.9694579,575,0.8903484344482422
1588677682.1811159,581,0.8745639324188232
1588677684.28848,583,0.8821467757225037
1588677685.27997,584,0.8861196041107178
1588677687.30026,586,0.8946318626403809
1588677689.332303,588,0.8934018015861511
1588677690.3443708,589,0.8978116512298584
1588677695.585365,594,0.9017767906188965
1588677696.643863,595,0.8990991115570068
1588677709.668295,604,0.8559754490852356
1588677715.7946188,610,0.888538122177124
1588677717.791209,612,0.8878408670425415
1588677722.962664,617,0.8926963210105896
1588677728.014364,622,0.910578191280365
1588677730.053237,624,0.9169433116912842
1588677744.714656,636,0.937775731086731
1588677751.763438,643,0.946837306022644
1588677752.80141,644,0.9474660754203796
1588677754.921105,646,0.9411975145339966
1588677757.066993,648,0.9386199712753296
1588677758.117664,649,0.9369454979896545
1588677760.23839,651,0.9398633241653442
1588677773.093102,663,0.9275727272033691
1588677776.2669911,666,0.9374817609786987
1588677780.537516,670,0.9314239621162415
1588677783.754014,673,0.9274142980575562
1588677786.8936691,676,0.9345069527626038
1588677791.1263402,680,0.9369425177574158
1588677792.1788,681,0.9369982481002808
1588677796.49305,685,0.9456504583358765
1588677801.7844338,690,0.94817715883255
1588677802.8868978,691,0.9439844489097595
1588677817.262966,701,0.9350661039352417
1588677821.4971452,705,0.9436812400817871
1588677824.658463,708,0.9399123787879944
1588677832.837256,716,0.9314895272254944
1588677837.059207,720,0.9451643228530884
