Wall time,Step,Value
1588662159.288256,7,0.12061063945293427
1588662173.024906,20,0.14032284915447235
1588662179.650788,26,0.23971669375896454
1588662196.548369,42,0.4203045070171356
1588662198.603849,44,0.45028796792030334
1588662201.597984,47,0.47079092264175415
1588662203.5662851,49,0.5223541259765625
1588662209.436687,55,0.5643097162246704
1588662212.379902,58,0.6149778962135315
1588662221.0926359,67,0.619763970375061
1588662226.9953558,73,0.6573167443275452
1588662228.961357,75,0.671146810054779
1588662229.939179,76,0.6779212355613708
1588662234.9708831,81,0.6840879321098328
1588662242.813895,89,0.6955192685127258
1588662249.636859,96,0.7327834963798523
1588662259.610657,104,0.7432165741920471
1588662262.4383411,107,0.7508204579353333
1588662263.3817449,108,0.7538633942604065
1588662269.933692,115,0.7527245283126831
1588662274.567292,120,0.7866916060447693
1588662282.431099,128,0.7496294379234314
1588662295.241173,141,0.8195686936378479
1588662305.535358,152,0.8156161308288574
1588662311.945297,157,0.8278011679649353
1588662314.205919,160,0.8374670743942261
1588662322.979409,169,0.8136827349662781
1588662323.984226,170,0.8104394674301147
1588662333.724422,180,0.8217574954032898
1588662338.446323,185,0.8279929757118225
1588662340.3218539,187,0.8162992596626282
1588662341.243424,188,0.8206068277359009
1588662344.990994,192,0.8367078900337219
1588662355.227695,200,0.8434933423995972
1588662363.0324202,208,0.8620666265487671
1588662364.025551,209,0.8664849400520325
1588662369.094037,214,0.8552836775779724
1588662379.872559,225,0.8786575794219971
1588662385.718198,231,0.8690319061279297
1588662390.907347,236,0.869306206703186
1588662393.969355,239,0.8741773366928101
1588662406.318772,251,0.8706780076026917
1588662412.20324,257,0.8516995906829834
1588662417.178071,262,0.8702130317687988
1588662420.133374,265,0.8810884356498718
1588662424.052489,269,0.8739415407180786
1588662428.007902,273,0.8731039762496948
1588662429.96632,275,0.8734642267227173
1588662449.386871,294,0.8725954294204712
1588662454.535608,299,0.8804347515106201
1588662457.969048,300,0.8767662644386292
1588662462.766727,305,0.8751599788665771
1588662467.66452,310,0.8846291899681091
1588662469.652531,312,0.8867058753967285
1588662478.583164,320,0.9040375351905823
1588662479.6144042,321,0.8995712995529175
1588662486.765198,328,0.9033167362213135
1588662487.788602,329,0.9082975387573242
1588662490.92818,332,0.9071488976478577
1588662500.154119,341,0.9051765203475952
1588662508.290268,349,0.9041132926940918
1588662524.8621728,365,0.9056995511054993
1588662528.9317,369,0.9122795462608337
1588662535.075182,375,0.9228552579879761
1588662539.204231,379,0.9136009216308594
1588662541.290412,381,0.9036104679107666
1588662555.006403,394,0.9059624671936035
1588662573.406283,410,0.9267062544822693
1588662586.560999,423,0.919309139251709
1588662587.587378,424,0.922690749168396
1588662589.676202,426,0.9148795008659363
1588662595.874416,432,0.9070718288421631
1588662605.1891441,441,0.9119758009910583
1588662607.270575,443,0.8288565874099731
1588662608.285055,444,0.8303459286689758
1588662611.486049,447,0.8555878400802612
1588662617.7415302,453,0.8896552324295044
1588662626.851351,462,0.8998218774795532
1588662629.854899,465,0.8976107835769653
1588662630.818866,466,0.8969122171401978
1588662641.9371881,476,0.9134185910224915
1588662657.33668,491,0.9232910871505737
1588662659.4133818,493,0.9244282841682434
1588662661.5084422,495,0.929880678653717
1588662678.497684,509,0.9330323338508606
1588662683.654741,514,0.9307494163513184
1588662685.733645,516,0.9270319938659668
