Wall time,Step,Value
1588668045.9872482,7,0.32132554054260254
1588668052.9791071,20,0.42626476287841797
1588668056.281078,26,0.5068274140357971
1588668065.37741,42,0.574664294719696
1588668066.540836,44,0.5666477680206299
1588668068.2710679,47,0.583287239074707
1588668069.435531,49,0.5898796916007996
1588668072.920962,55,0.600006103515625
1588668074.680832,58,0.5884695053100586
1588668079.964139,67,0.5987881422042847
1588668083.5305338,73,0.6098954677581787
1588668084.721117,75,0.6052011847496033
1588668085.320291,76,0.617367148399353
1588668088.368344,81,0.5962427258491516
1588668093.355853,89,0.594336211681366
1588668097.874645,96,0.6080553531646729
1588668106.466542,104,0.6087878942489624
1588668108.473873,107,0.6165719628334045
1588668109.188365,108,0.6096022725105286
1588668114.134627,115,0.6322428584098816
1588668117.654212,120,0.6295439600944519
1588668123.32381,128,0.6000949144363403
1588668133.125479,141,0.6750668287277222
1588668141.965332,152,0.7142654657363892
1588668148.1046982,157,0.706873893737793
1588668150.166633,160,0.6858735680580139
1588668158.30317,169,0.6962164640426636
1588668159.221309,170,0.6969073414802551
1588668168.6878028,180,0.7440985441207886
1588668173.39652,185,0.7216224074363708
1588668175.463365,187,0.717639148235321
1588668176.4972732,188,0.7146252393722534
1588668180.626657,192,0.7158140540122986
1588668191.454952,200,0.7261487245559692
1588668199.089498,208,0.7188975214958191
1588668200.0569222,209,0.7173202633857727
1588668205.093139,214,0.7265182733535767
1588668216.3822432,225,0.7543038725852966
1588668222.5151548,231,0.7406503558158875
1588668227.2794921,236,0.761825442314148
1588668229.8889742,239,0.7518395185470581
1588668241.2434828,251,0.7393108010292053
1588668246.6717,257,0.7379097938537598
1588668251.261086,262,0.753832221031189
1588668254.2845151,265,0.7668092846870422
1588668257.9805691,269,0.7558363676071167
1588668261.440458,273,0.765112042427063
1588668263.170614,275,0.7486469745635986
1588668279.950079,294,0.7478002309799194
1588668284.384717,299,0.7736307978630066
1588668287.806278,300,0.7681427001953125
1588668292.092299,305,0.8014913201332092
1588668296.434119,310,0.7891291975975037
1588668298.162375,312,0.7863821387290955
1588668306.674734,320,0.7652339339256287
1588668307.551157,321,0.7621480226516724
1588668313.609508,328,0.7611660957336426
1588668314.486669,329,0.7709869742393494
1588668317.0853179,332,0.765612006187439
1588668324.809828,341,0.7784988284111023
1588668331.4205241,349,0.7985091209411621
1588668345.172831,365,0.7950077056884766
1588668348.643306,369,0.7944967150688171
1588668353.8418171,375,0.8116441369056702
1588668357.309419,379,0.8048884868621826
1588668359.048906,381,0.7977409362792969
1588668370.396596,394,0.7909947633743286
1588668386.727971,410,0.8096002340316772
1588668398.020302,423,0.7896715402603149
1588668398.884449,424,0.7872669100761414
1588668400.636415,426,0.785186231136322
1588668406.270747,432,0.8021366000175476
1588668414.0491269,441,0.803517758846283
1588668415.7706492,443,0.7383493781089783
1588668416.6418078,444,0.7520144581794739
1588668419.232697,447,0.7825466990470886
1588668424.422327,453,0.7844562530517578
1588668432.6396348,462,0.8099362850189209
1588668435.403232,465,0.8177091479301453
1588668436.30306,466,0.8234382271766663
1588668446.983768,476,0.809712290763855
1588668460.23409,491,0.8192751407623291
1588668462.018579,493,0.8239253759384155
1588668463.851425,495,0.8261295557022095
1588668479.576719,509,0.8084930777549744
1588668483.9100218,514,0.8142219185829163
1588668485.649923,516,0.8137385249137878
1588668488.2694058,519,0.8239497542381287
1588668495.650443,527,0.8161760568618774
1588668501.173939,533,0.812920093536377
1588668503.007734,535,0.8037777543067932
1588668505.823745,538,0.810032069683075
1588668511.222574,544,0.8183419704437256
1588668515.543669,549,0.8204832077026367
1588668524.817973,559,0.80579674243927
1588668530.214634,565,0.8153661489486694
1588668535.39957,571,0.806671142578125
1588668539.313622,575,0.8041006326675415
1588668544.6113842,581,0.8119179010391235
1588668546.3499,583,0.824059784412384
1588668547.209913,584,0.8244662880897522
1588668549.001649,586,0.8254739046096802
1588668550.827334,588,0.8244151473045349
1588668551.740256,589,0.8263486623764038
1588668556.3119612,594,0.8408167362213135
1588668557.254915,595,0.84267258644104
1588668568.5186508,604,0.7743778824806213
1588668573.934528,610,0.8008835911750793
1588668575.6674612,612,0.8093407154083252
1588668580.025621,617,0.8134469389915466
1588668584.6331892,622,0.8247920870780945
1588668586.468329,624,0.8252691030502319
1588668599.426879,636,0.8543338775634766
1588668605.8771682,643,0.8517508506774902
1588668606.747186,644,0.8431382775306702
1588668608.4887009,646,0.8409107327461243
1588668610.239705,648,0.8398877382278442
1588668611.121403,649,0.8433989882469177
1588668612.908965,651,0.8445594310760498
1588668624.1681652,663,0.8298178315162659
1588668626.782513,666,0.8376559615135193
1588668630.284779,670,0.8416657447814941
1588668632.905178,673,0.8495899438858032
1588668636.003299,676,0.843319833278656
1588668639.5554051,680,0.8331177234649658
1588668640.428365,681,0.8341809511184692
1588668643.928094,685,0.8227686285972595
1588668648.365854,690,0.8220264315605164
1588668649.2856581,691,0.8288862705230713
1588668661.12428,701,0.8227227330207825
1588668665.0779688,705,0.8218821287155151
1588668667.887168,708,0.823870837688446
1588668675.061582,716,0.8069877028465271
1588668679.040789,720,0.8050286769866943
1588668682.149017,723,0.8091627955436707
1588668683.165609,724,0.812621533870697
1588668684.2065039,725,0.8141719102859497
1588668691.520572,732,0.8253639340400696
1588668697.159449,738,0.835110068321228
1588668698.9077919,740,0.8336266279220581
1588668699.780946,741,0.8252639770507812
1588668703.2447941,745,0.8131259679794312
