Wall time,Step,Value
1588662159.288256,7,2.3793718814849854
1588662173.024906,20,2.1251423358917236
1588662179.650788,26,1.9436894655227661
1588662196.548369,42,1.5362838506698608
1588662198.603849,44,1.4907463788986206
1588662201.597984,47,1.4357432126998901
1588662203.5662851,49,1.3017528057098389
1588662209.436687,55,1.2079137563705444
1588662212.379902,58,1.1167367696762085
1588662221.0926359,67,1.0449304580688477
1588662226.9953558,73,0.9899514317512512
1588662228.961357,75,0.9498392343521118
1588662229.939179,76,0.9313418865203857
1588662234.9708831,81,0.9102790355682373
1588662242.813895,89,0.8486583232879639
1588662249.636859,96,0.741878867149353
1588662259.610657,104,0.7153748869895935
1588662262.4383411,107,0.69342440366745
1588662263.3817449,108,0.6761914491653442
1588662269.933692,115,0.6739850640296936
1588662274.567292,120,0.6102679371833801
1588662282.431099,128,1.2275137901306152
1588662295.241173,141,0.6442901492118835
1588662305.535358,152,0.535702645778656
1588662311.945297,157,0.46900564432144165
1588662314.205919,160,0.433321088552475
1588662322.979409,169,0.4898523688316345
1588662323.984226,170,0.5082301497459412
1588662333.724422,180,0.4946008324623108
1588662338.446323,185,0.4596029222011566
1588662340.3218539,187,0.4965219795703888
1588662341.243424,188,0.4888937771320343
1588662344.990994,192,0.4537622630596161
1588662355.227695,200,0.4412408769130707
1588662363.0324202,208,0.41159412264823914
1588662364.025551,209,0.40163278579711914
1588662369.094037,214,0.4130600094795227
1588662379.872559,225,0.3765312135219574
1588662385.718198,231,0.3855944871902466
1588662390.907347,236,0.3487849831581116
1588662393.969355,239,0.3303406834602356
1588662406.318772,251,0.3393059968948364
1588662412.20324,257,0.37943124771118164
1588662417.178071,262,0.3516688942909241
1588662420.133374,265,0.3391764163970947
1588662424.052489,269,0.3292127847671509
1588662428.007902,273,0.32817909121513367
1588662429.96632,275,0.3256364166736603
1588662449.386871,294,0.5490487813949585
1588662454.535608,299,0.44198593497276306
1588662457.969048,300,0.4343867897987366
1588662462.766727,305,0.3918810784816742
1588662467.66452,310,0.35463809967041016
1588662469.652531,312,0.33767205476760864
1588662478.583164,320,0.2800680100917816
1588662479.6144042,321,0.30111655592918396
1588662486.765198,328,0.30736541748046875
1588662487.788602,329,0.29816070199012756
1588662490.92818,332,0.29451659321784973
1588662500.154119,341,0.2884746491909027
1588662508.290268,349,0.26430559158325195
1588662524.8621728,365,0.24107776582241058
1588662528.9317,369,0.2295476496219635
1588662535.075182,375,0.19885563850402832
1588662539.204231,379,0.25271669030189514
1588662541.290412,381,0.2694641351699829
1588662555.006403,394,0.24740812182426453
1588662573.406283,410,0.21992817521095276
1588662586.560999,423,0.22645428776741028
1588662587.587378,424,0.21885809302330017
1588662589.676202,426,0.23455674946308136
1588662595.874416,432,0.23816882073879242
1588662605.1891441,441,0.20982351899147034
1588662607.270575,443,1.3672140836715698
1588662608.285055,444,1.2772653102874756
1588662611.486049,447,1.0036671161651611
1588662617.7415302,453,0.6463745832443237
1588662626.851351,462,0.40185511112213135
1588662629.854899,465,0.36716580390930176
