Wall time,Step,Value
1588668045.9872482,7,2.128429889678955
1588668052.9791071,20,1.6511344909667969
1588668056.281078,26,1.4409903287887573
1588668065.37741,42,1.2452337741851807
1588668066.540836,44,1.219909429550171
1588668068.2710679,47,1.2121739387512207
1588668069.435531,49,1.2062327861785889
1588668072.920962,55,1.139120101928711
1588668074.680832,58,1.1241047382354736
1588668079.964139,67,1.1166101694107056
1588668083.5305338,73,1.1140656471252441
1588668084.721117,75,1.1112607717514038
1588668085.320291,76,1.0905474424362183
1588668088.368344,81,1.1306346654891968
1588668093.355853,89,1.1081045866012573
1588668097.874645,96,1.0929884910583496
1588668106.466542,104,1.109608769416809
1588668108.473873,107,1.087110996246338
1588668109.188365,108,1.0990651845932007
1588668114.134627,115,1.0192339420318604
1588668117.654212,120,1.0200605392456055
1588668123.32381,128,1.3837028741836548
1588668133.125479,141,1.0102875232696533
1588668141.965332,152,0.8934729695320129
1588668148.1046982,157,0.856927752494812
1588668150.166633,160,0.893362283706665
1588668158.30317,169,0.8814192414283752
1588668159.221309,170,0.8821766972541809
1588668168.6878028,180,0.7532617449760437
1588668173.39652,185,0.7867276668548584
1588668175.463365,187,0.8314254283905029
1588668176.4972732,188,0.8372055888175964
1588668180.626657,192,0.8222776651382446
1588668191.454952,200,0.7730324268341064
1588668199.089498,208,0.7735036015510559
1588668200.0569222,209,0.7701888680458069
1588668205.093139,214,0.7585452198982239
1588668216.3822432,225,0.702679455280304
1588668222.5151548,231,0.7263802886009216
1588668227.2794921,236,0.6863715648651123
1588668229.8889742,239,0.7072438597679138
1588668241.2434828,251,0.7178802490234375
1588668246.6717,257,0.7325705885887146
1588668251.261086,262,0.7127159833908081
1588668254.2845151,265,0.6812785863876343
1588668257.9805691,269,0.6940224170684814
1588668261.440458,273,0.6873368620872498
1588668263.170614,275,0.6966736316680908
1588668279.950079,294,0.8632654547691345
1588668284.384717,299,0.7373896837234497
1588668287.806278,300,0.7413854002952576
1588668292.092299,305,0.642708957195282
1588668296.434119,310,0.6477197408676147
1588668298.162375,312,0.645065188407898
1588668306.674734,320,0.6220152378082275
1588668307.551157,321,0.6200673580169678
1588668313.609508,328,0.6187363862991333
1588668314.486669,329,0.6072816848754883
1588668317.0853179,332,0.6250914931297302
1588668324.809828,341,0.615082859992981
1588668331.4205241,349,0.6025717258453369
1588668345.172831,365,0.5910501480102539
1588668348.643306,369,0.5764537453651428
1588668353.8418171,375,0.5448207855224609
1588668357.309419,379,0.5637691020965576
1588668359.048906,381,0.5815211534500122
1588668370.396596,394,0.5787397027015686
1588668386.727971,410,0.5292720794677734
1588668398.020302,423,0.5837289690971375
1588668398.884449,424,0.5712181329727173
1588668400.636415,426,0.5806264877319336
1588668406.270747,432,0.5741904973983765
1588668414.0491269,441,0.5650232434272766
1588668415.7706492,443,1.0925846099853516
1588668416.6418078,444,1.0410223007202148
1588668419.232697,447,0.8728944659233093
1588668424.422327,453,0.7223352193832397
1588668432.6396348,462,0.5720850825309753
1588668435.403232,465,0.5595607757568359
1588668436.30306,466,0.5524721145629883
1588668446.983768,476,0.5353072285652161
1588668460.23409,491,0.4959108829498291
1588668462.018579,493,0.4878523051738739
1588668463.851425,495,0.48625409603118896
1588668479.576719,509,0.5190282464027405
1588668483.9100218,514,0.5215075016021729
1588668485.649923,516,0.5188784003257751
1588668488.2694058,519,0.4908920228481293
1588668495.650443,527,0.5169843435287476
1588668501.173939,533,0.5030343532562256
1588668503.007734,535,0.5215654969215393
1588668505.823745,538,0.5203877687454224
1588668511.222574,544,0.5147477984428406
1588668515.543669,549,0.5048125982284546
1588668524.817973,559,0.521963894367218
1588668530.214634,565,0.5019619464874268
1588668535.39957,571,0.5062125325202942
1588668539.313622,575,0.5112194418907166
1588668544.6113842,581,0.4853971302509308
1588668546.3499,583,0.4592270255088806
1588668547.209913,584,0.4642726480960846
1588668549.001649,586,0.4608954191207886
1588668550.827334,588,0.4744643568992615
1588668551.740256,589,0.47554561495780945
1588668556.3119612,594,0.4555070698261261
1588668557.254915,595,0.4469652771949768
1588668568.5186508,604,0.9305734038352966
1588668573.934528,610,0.7244232892990112
1588668575.6674612,612,0.6753891706466675
1588668580.025621,617,0.5893446803092957
1588668584.6331892,622,0.5350090265274048
1588668586.468329,624,0.5147929191589355
1588668599.426879,636,0.4243186414241791
1588668605.8771682,643,0.4354635179042816
1588668606.747186,644,0.45315662026405334
1588668608.4887009,646,0.4467179477214813
1588668610.239705,648,0.4361168146133423
1588668611.121403,649,0.4269731640815735
1588668612.908965,651,0.4224849343299866
1588668624.1681652,663,0.4649643003940582
1588668626.782513,666,0.4448304772377014
1588668630.284779,670,0.455552339553833
1588668632.905178,673,0.43976685404777527
1588668636.003299,676,0.4424092471599579
1588668639.5554051,680,0.45181500911712646
1588668640.428365,681,0.4416203796863556
1588668643.928094,685,0.4551358222961426
1588668648.365854,690,0.4507494568824768
1588668649.2856581,691,0.4371017813682556
1588668661.12428,701,0.463578999042511
1588668665.0779688,705,0.4702583849430084
1588668667.887168,708,0.4814995229244232
1588668675.061582,716,0.4914971590042114
1588668679.040789,720,0.5139057636260986
1588668682.149017,723,0.5109277367591858
1588668683.165609,724,0.5021872520446777
1588668684.2065039,725,0.4894539415836334
1588668691.520572,732,0.46900540590286255
1588668697.159449,738,0.46920353174209595
1588668698.9077919,740,0.4655361473560333
1588668699.780946,741,0.48134157061576843
1588668703.2447941,745,0.5011612772941589
1588668706.787189,749,0.49074575304985046
1588668709.504839,752,0.47909015417099
1588668710.5483258,753,0.4849366843700409
1588668711.60099,754,0.478888601064682
1588668715.163064,758,1.2994401454925537
1588668723.061768,767,0.7713644504547119
1588668726.73665,771,0.6392610669136047
1588668727.650678,772,0.6206786632537842
1588668728.569248,773,0.6088505983352661
1588668730.4010081,775,0.5483267903327942
1588668731.314659,776,0.5414407849311829
1588668737.230238,782,0.5148463249206543
1588668743.242945,786,0.4947457015514374
1588668744.1505659,787,0.48651087284088135
1588668745.505604,789,0.4637402892112732
1588668746.857344,791,0.45609360933303833
1588668749.607189,794,0.44269007444381714
1588668750.5206301,795,0.45519712567329407
